,methods,head,medium,tail,avg
0,10_PriorCELoss_224_resnet50_True_256_1_50_strong,0.9686,0.9801500000000001,0.9189999999999999,0.9559166666666666
1,10_BalancedSoftmax_224_resnet50_True_256_1_50_strong,0.9655,0.98125,0.9070666666666667,0.9512722222222223
2,10_cRT_RS_224_resnet50_True_256_1_50_strong,0.9764333333333334,0.9936,0.8742666666666666,0.9481
3,10_Focal_224_resnet50_True_256_1_50_strong,0.9709333333333333,0.99415,0.8075333333333333,0.9242055555555555
4,10_RSG_224_resnet50_True_64_1_50_strong,0.9544666666666667,0.9855499999999999,0.8654666666666667,0.9351611111111112
5,10_Logits_Adjust_Posthoc_224_resnet50_True_256_1_50_strong,0.9665,0.9791000000000001,0.9027,0.9494333333333334
6,10_LWS_224_resnet50_True_256_1_50_strong,0.9030333333333335,0.7535499999999999,0.015033333333333334,0.5572055555555555
7,10_SADE_224_resnet50_True_128_1_50_strong,0.6099,0.8190500000000001,0.5236999999999999,0.6508833333333333
8,10_BBN_224_resnet50_True_128_1_50_strong,0.9623666666666667,0.9823,0.8939333333333334,0.9462
9,10_MixUp_224_resnet50_True_256_1_50_strong,0.9804,0.9893000000000001,0.7992666666666667,0.9229888888888889
10,10_DisAlign_224_resnet50_True_256_1_50_strong,0.9711,0.9898,0.8882,0.9497
11,10_CBLoss_224_resnet50_True_256_1_50_strong,0.9692333333333334,0.9823,0.8581,0.9365444444444444
12,10_ERM_224_resnet50_True_256_1_50_strong,0.9726666666666667,0.9716,0.82,0.9214222222222221
13,10_SAM_224_resnet50_True_256_1_90_strong,0.961,0.97485,0.774,0.9032833333333333
14,10_De-Confound_224_resnet50_True_256_1_50_strong,0.9713666666666666,0.97485,0.8510333333333332,0.9324166666666666
15,10_RW_224_resnet50_True_256_1_50_strong,0.9739333333333332,0.9903500000000001,0.8814333333333334,0.9485722222222223
16,10_SEQLLoss_224_resnet50_True_256_1_50_strong,0.9722333333333334,0.9727,0.8527333333333335,0.9325555555555556
17,10_VSLoss_224_resnet50_True_256_1_50_strong,0.9605,0.97695,0.8659333333333333,0.9344611111111112
18,10_LADELoss_224_resnet50_True_256_1_50_strong,0.9716,0.9877,0.7275666666666667,0.8956222222222223
19,10_Logits_Adjust_Loss_224_resnet50_True_256_1_50_strong,0.9541,0.98175,0.5139,0.8165833333333333
20,10_MiSLAS_224_resnet50_True_256_1_50_strong,0.9314666666666667,0.9924999999999999,0.8174333333333333,0.9138000000000001
21,10_WeightedSoftmax_224_resnet50_True_256_1_50_strong,0.9777999999999999,0.9898,0.8464999999999999,0.9380333333333333
22,10_CBLoss_Focal_224_resnet50_True_256_1_50_strong,0.9697333333333334,0.9834,0.8520666666666666,0.9350666666666667
23,10_T-Norm_224_resnet50_True_256_1_50_strong,0.9645333333333334,0.97965,0.8079,0.9173611111111111
24,10_GCL_224_resnet50_True_256_1_50_strong,0.9698333333333333,0.9952,0.9070333333333332,0.9573555555555555
25,10_RangeLoss_224_resnet50_True_256_1_50_strong,0.23583333333333334,0.0611,0.036899999999999995,0.11127777777777777
26,10_RS_224_resnet50_True_256_1_50_strong,0.9574666666666666,0.99195,0.9117333333333333,0.9537166666666667
27,10_GCL_2nd_224_resnet50_True_256_1_50_strong,0.9642666666666666,0.99465,0.9556,0.9715055555555555
28,10_LDAM_224_resnet50_True_256_1_50_strong,0.9674333333333333,0.9844999999999999,0.8732000000000001,0.9417111111111112
