,methods,head,medium,tail,avg
0,10_PriorCELoss_224_resnet50_True_256_1_50_strong,0.7763,0.728,0.7054,0.7365666666666666
1,10_BalancedSoftmax_224_resnet50_True_256_1_50_strong,0.8941,0.673525,0.7661,0.7779083333333334
2,10_cRT_RS_224_resnet50_True_256_1_50_strong,0.8852,0.73355,0.7009000000000001,0.7732166666666668
3,10_Focal_224_resnet50_True_256_1_50_strong,0.9508,0.59595,0.6057,0.7174833333333334
4,10_RSG_224_resnet50_True_64_1_50_strong,0.7733,0.53895,0.6312,0.6478166666666667
5,10_Logits_Adjust_Posthoc_224_resnet50_True_256_1_50_strong,0.9262,0.6453,0.6147,0.7287333333333333
6,10_LWS_224_resnet50_True_256_1_50_strong,0.959,0.2597,0.01725,0.4119833333333333
7,10_SADE_224_resnet50_True_128_1_50_strong,0.5936,0.308875,0.5847,0.495725
8,10_BBN_224_resnet50_True_128_1_50_strong,0.9187,0.7098,0.64015,0.7562166666666666
9,10_MixUp_224_resnet50_True_256_1_50_strong,0.959,0.5902499999999999,0.54425,0.6978333333333332
10,10_DisAlign_224_resnet50_True_256_1_50_strong,0.8568,0.6604,0.75715,0.7581166666666667
11,10_CBLoss_224_resnet50_True_256_1_50_strong,0.8315,0.635675,0.7661,0.744425
12,10_ERM_224_resnet50_True_256_1_50_strong,0.9582,0.618575,0.4408,0.6725249999999999
13,10_SAM_224_resnet50_True_256_1_90_strong,0.9336,0.610175,0.3666,0.6367916666666668
14,10_De-Confound_224_resnet50_True_256_1_50_strong,0.9508,0.615425,0.4925,0.6862416666666666
15,10_RW_224_resnet50_True_256_1_50_strong,0.8732,0.6531,0.6919,0.7394
16,10_SEQLLoss_224_resnet50_True_256_1_50_strong,0.8993,0.691275,0.5577,0.7160916666666667
17,10_VSLoss_224_resnet50_True_256_1_50_strong,0.9284,0.64745,0.497,0.69095
18,10_LADELoss_224_resnet50_True_256_1_50_strong,0.9128,0.6743,0.506,0.6976999999999999
19,10_Logits_Adjust_Loss_224_resnet50_True_256_1_50_strong,0.9739,0.52115,0.4363,0.6437833333333334
20,10_MiSLAS_224_resnet50_True_256_1_50_strong,0.6592,0.675275,0.75715,0.6972083333333332
21,10_WeightedSoftmax_224_resnet50_True_256_1_50_strong,0.8784,0.683075,0.6927,0.7513916666666667
22,10_CBLoss_Focal_224_resnet50_True_256_1_50_strong,0.8441,0.632725,0.7399,0.7389083333333333
23,10_T-Norm_224_resnet50_True_256_1_50_strong,0.9597,0.5675749999999999,0.44155,0.6562749999999999
24,10_GCL_224_resnet50_True_256_1_50_strong,0.8807,0.65335,0.57945,0.7045
25,10_RangeLoss_224_resnet50_True_256_1_50_strong,1.0,0.0,0.0,0.3333333333333333
26,10_RS_224_resnet50_True_256_1_50_strong,0.9195,0.657475,0.59745,0.7248083333333334
27,10_GCL_2nd_224_resnet50_True_256_1_50_strong,0.6875,0.7310749999999999,0.9003000000000001,0.7729583333333334
28,10_LDAM_224_resnet50_True_256_1_50_strong,0.9262,0.6370750000000001,0.53145,0.6982416666666666
