,methods,head,medium,tail,avg
0,10_PriorCELoss_224_resnet50_True_256_1_50_strong,0.7983666666666668,0.7505000000000001,0.7303600000000001,0.7597422222222224
1,10_BalancedSoftmax_224_resnet50_True_256_1_50_strong,0.7945000000000001,0.7648,0.7279199999999999,0.7624066666666667
2,10_cRT_RS_224_resnet50_True_256_1_50_strong,0.8388333333333332,0.761,0.67336,0.7577311111111111
3,10_Focal_224_resnet50_True_256_1_50_strong,0.8508,0.7319,0.6888,0.7571666666666667
4,10_RSG_224_resnet50_True_64_1_50_strong,0.7766000000000001,0.6892,0.70842,0.72474
5,10_Logits_Adjust_Posthoc_224_resnet50_True_256_1_50_strong,0.7947333333333333,0.7799999999999999,0.74208,0.772271111111111
6,10_LWS_224_resnet50_True_256_1_50_strong,0.8436666666666667,0.35856666666666664,0.0749,0.4257111111111111
7,10_SADE_224_resnet50_True_128_1_50_strong,0.6834666666666666,0.7248,0.68674,0.6983355555555555
8,10_BBN_224_resnet50_True_128_1_50_strong,0.7463333333333333,0.7748333333333334,0.6707799999999999,0.7306488888888888
9,10_MixUp_224_resnet50_True_256_1_50_strong,0.8453666666666667,0.7777666666666666,0.65602,0.7597177777777778
10,10_DisAlign_224_resnet50_True_256_1_50_strong,0.8051,0.7830666666666667,0.692,0.7600555555555556
11,10_CBLoss_224_resnet50_True_256_1_50_strong,0.7853666666666667,0.8281666666666666,0.7370399999999999,0.7835244444444444
12,10_ERM_224_resnet50_True_256_1_50_strong,0.8267333333333333,0.782,0.68556,0.7647644444444444
13,10_SAM_224_resnet50_True_256_1_90_strong,0.8662666666666667,0.7598666666666668,0.67652,0.7675511111111112
14,10_De-Confound_224_resnet50_True_256_1_50_strong,0.7750333333333334,0.8772000000000001,0.6887,0.7803111111111112
15,10_RW_224_resnet50_True_256_1_50_strong,0.8379333333333334,0.7888999999999999,0.73546,0.7874311111111112
16,10_SEQLLoss_224_resnet50_True_256_1_50_strong,0.8172,0.7556333333333333,0.67362,0.7488177777777777
17,10_VSLoss_224_resnet50_True_256_1_50_strong,0.8159000000000001,0.8173333333333334,0.67848,0.7705711111111112
18,10_LADELoss_224_resnet50_True_256_1_50_strong,0.8454,0.7700333333333335,0.6873400000000001,0.7675911111111112
19,10_Logits_Adjust_Loss_224_resnet50_True_256_1_50_strong,0.8744666666666667,0.6883333333333334,0.6464,0.7364
20,10_MiSLAS_224_resnet50_True_256_1_50_strong,0.7378,0.7371333333333333,0.6763399999999999,0.717091111111111
21,10_WeightedSoftmax_224_resnet50_True_256_1_50_strong,0.7935,0.8064333333333334,0.6862,0.7620444444444444
22,10_CBLoss_Focal_224_resnet50_True_256_1_50_strong,0.7594666666666666,0.8052333333333334,0.74122,0.76864
23,10_T-Norm_224_resnet50_True_256_1_50_strong,0.8251333333333334,0.7447666666666667,0.6699400000000001,0.7466133333333334
24,10_GCL_224_resnet50_True_256_1_50_strong,0.8352666666666666,0.7619333333333334,0.72676,0.7746533333333333
25,10_RangeLoss_224_resnet50_True_256_1_50_strong,0.0,0.3333333333333333,0.0,0.1111111111111111
26,10_RS_224_resnet50_True_256_1_50_strong,0.7614,0.8210333333333333,0.6339199999999999,0.7387844444444444
27,10_GCL_2nd_224_resnet50_True_256_1_50_strong,0.7572,0.8368666666666668,0.77862,0.7908955555555556
28,10_LDAM_224_resnet50_True_256_1_50_strong,0.8285666666666667,0.7638333333333334,0.70136,0.7645866666666666
