,methods,head,medium,tail,avg
0,10_PriorCELoss_224_resnet50_True_256_1_50_strong,0.9283000000000001,0.6486,0.67174,0.7495466666666667
1,10_BalancedSoftmax_224_resnet50_True_256_1_50_strong,0.9358,0.6268333333333334,0.6760799999999999,0.7462377777777777
2,10_cRT_RS_224_resnet50_True_256_1_50_strong,0.9211,0.6316666666666667,0.67376,0.7421755555555557
3,10_Focal_224_resnet50_True_256_1_50_strong,0.9197666666666667,0.5702333333333333,0.6335599999999999,0.7078533333333333
4,10_RSG_224_resnet50_True_64_1_50_strong,0.8647999999999999,0.5288666666666666,0.6418,0.6784888888888888
5,10_Logits_Adjust_Posthoc_224_resnet50_True_256_1_50_strong,0.9175,0.6272333333333333,0.7123999999999999,0.7523777777777777
6,10_LWS_224_resnet50_True_256_1_50_strong,0.44870000000000004,0.07816666666666666,0.012620000000000001,0.1798288888888889
7,10_SADE_224_resnet50_True_128_1_50_strong,0.6788333333333333,0.4627666666666667,0.52296,0.5548533333333333
8,10_BBN_224_resnet50_True_128_1_50_strong,0.9155333333333333,0.6340666666666667,0.6386200000000001,0.7294066666666666
9,10_MixUp_224_resnet50_True_256_1_50_strong,0.9225,0.5743333333333334,0.66968,0.7221711111111112
10,10_DisAlign_224_resnet50_True_256_1_50_strong,0.9373666666666667,0.6268666666666666,0.72648,0.7635711111111111
11,10_CBLoss_224_resnet50_True_256_1_50_strong,0.9420666666666667,0.5869333333333333,0.66392,0.7309733333333334
12,10_ERM_224_resnet50_True_256_1_50_strong,0.935,0.592,0.6517999999999999,0.7262666666666666
13,10_SAM_224_resnet50_True_256_1_90_strong,0.9134333333333333,0.5989333333333333,0.64256,0.7183088888888888
14,10_De-Confound_224_resnet50_True_256_1_50_strong,0.9255999999999999,0.6481,0.64582,0.7398399999999999
15,10_RW_224_resnet50_True_256_1_50_strong,0.922,0.6890666666666667,0.6683800000000001,0.7598155555555556
16,10_SEQLLoss_224_resnet50_True_256_1_50_strong,0.9451999999999999,0.6145,0.65154,0.7370800000000001
17,10_VSLoss_224_resnet50_True_256_1_50_strong,0.9479000000000001,0.6142333333333333,0.67076,0.7442977777777777
18,10_LADELoss_224_resnet50_True_256_1_50_strong,0.9122,0.6157666666666667,0.62858,0.718848888888889
19,10_Logits_Adjust_Loss_224_resnet50_True_256_1_50_strong,0.9136666666666665,0.5547333333333334,0.56098,0.67646
20,10_MiSLAS_224_resnet50_True_256_1_50_strong,0.8485999999999999,0.5107666666666667,0.6439799999999999,0.6677822222222222
21,10_WeightedSoftmax_224_resnet50_True_256_1_50_strong,0.9505666666666667,0.657,0.69356,0.7670422222222223
22,10_CBLoss_Focal_224_resnet50_True_256_1_50_strong,0.9415666666666667,0.5799,0.6735599999999999,0.7316755555555554
23,10_T-Norm_224_resnet50_True_256_1_50_strong,0.9216666666666665,0.5515,0.6393,0.7041555555555554
24,10_GCL_224_resnet50_True_256_1_50_strong,0.9415333333333332,0.6046,0.6899399999999999,0.7453577777777777
25,10_RangeLoss_224_resnet50_True_256_1_50_strong,0.0,0.3333333333333333,0.0,0.1111111111111111
26,10_RS_224_resnet50_True_256_1_50_strong,0.9249,0.5713666666666667,0.6406000000000001,0.7122888888888889
27,10_GCL_2nd_224_resnet50_True_256_1_50_strong,0.9298666666666667,0.644,0.75416,0.7760088888888889
28,10_LDAM_224_resnet50_True_256_1_50_strong,0.9097666666666666,0.6168333333333335,0.6915800000000001,0.7393933333333335
