,methods,head,medium,tail,avg
0,10_PriorCELoss_224_resnet50_True_256_1_50_strong,0.8607666666666667,0.6096333333333334,0.72356,0.7313200000000001
1,10_BalancedSoftmax_224_resnet50_True_256_1_50_strong,0.8144333333333332,0.5927333333333333,0.70052,0.7025622222222222
2,10_cRT_RS_224_resnet50_True_256_1_50_strong,0.8823,0.5899,0.6979,0.7233666666666666
3,10_Focal_224_resnet50_True_256_1_50_strong,0.8624,0.5492666666666667,0.6477,0.6864555555555555
4,10_RSG_224_resnet50_True_64_1_50_strong,0.8277000000000001,0.6606,0.7006000000000001,0.7296333333333335
5,10_Logits_Adjust_Posthoc_224_resnet50_True_256_1_50_strong,0.8277666666666668,0.6201,0.6909599999999999,0.7129422222222223
6,10_LWS_224_resnet50_True_256_1_50_strong,0.5943666666666666,0.321,0.23942000000000002,0.3849288888888889
7,10_SADE_224_resnet50_True_128_1_50_strong,0.7273666666666667,0.48619999999999997,0.5926600000000001,0.6020755555555556
8,10_BBN_224_resnet50_True_128_1_50_strong,0.8790999999999999,0.5928,0.7174,0.7297666666666666
9,10_MixUp_224_resnet50_True_256_1_50_strong,0.8914666666666666,0.5009,0.64246,0.6782755555555555
10,10_DisAlign_224_resnet50_True_256_1_50_strong,0.8808666666666666,0.5877333333333333,0.66496,0.7111866666666667
11,10_CBLoss_224_resnet50_True_256_1_50_strong,0.7987333333333333,0.6508333333333334,0.73912,0.7295622222222221
12,10_ERM_224_resnet50_True_256_1_50_strong,0.8833333333333333,0.5688666666666666,0.6689600000000001,0.7070533333333334
13,10_SAM_224_resnet50_True_256_1_90_strong,0.9077333333333334,0.5611333333333334,0.63358,0.7008155555555556
14,10_De-Confound_224_resnet50_True_256_1_50_strong,0.8702666666666667,0.6135333333333334,0.66066,0.71482
15,10_RW_224_resnet50_True_256_1_50_strong,0.8301000000000002,0.5868000000000001,0.69604,0.7043133333333333
16,10_SEQLLoss_224_resnet50_True_256_1_50_strong,0.8883333333333333,0.5561333333333334,0.63844,0.6943022222222223
17,10_VSLoss_224_resnet50_True_256_1_50_strong,0.8645999999999999,0.5866333333333333,0.66698,0.7060711111111111
18,10_LADELoss_224_resnet50_True_256_1_50_strong,0.8332333333333333,0.5903666666666667,0.6491999999999999,0.6909333333333333
19,10_Logits_Adjust_Loss_224_resnet50_True_256_1_50_strong,0.8931,0.5347333333333333,0.5677800000000002,0.6652044444444445
20,10_MiSLAS_224_resnet50_True_256_1_50_strong,0.7465666666666667,0.5274,0.6939,0.6559555555555555
21,10_WeightedSoftmax_224_resnet50_True_256_1_50_strong,0.8401666666666667,0.6064,0.67666,0.7077422222222222
22,10_CBLoss_Focal_224_resnet50_True_256_1_50_strong,0.8417666666666667,0.6042000000000001,0.71416,0.7200422222222223
23,10_T-Norm_224_resnet50_True_256_1_50_strong,0.8681666666666666,0.5409,0.62726,0.6787755555555556
24,10_GCL_224_resnet50_True_256_1_50_strong,0.8864,0.6268,0.7308399999999999,0.7480133333333333
25,10_RangeLoss_224_resnet50_True_256_1_50_strong,0.0,0.3333333333333333,0.0,0.1111111111111111
26,10_RS_224_resnet50_True_256_1_50_strong,0.8999,0.5261333333333332,0.66388,0.6966377777777778
27,10_GCL_2nd_224_resnet50_True_256_1_50_strong,0.8179666666666666,0.6623333333333333,0.76786,0.7493866666666666
28,10_LDAM_224_resnet50_True_256_1_50_strong,0.8607,0.5866,0.6859599999999999,0.7110866666666666
