,methods,head,medium,tail,avg
0,10_PriorCELoss_224_resnet50_True_256_1_50_strong,0.9851000000000001,0.9701000000000001,0.889675,0.9482916666666666
1,10_BalancedSoftmax_224_resnet50_True_256_1_50_strong,0.9639,0.9954000000000001,0.88415,0.9478166666666666
2,10_cRT_RS_224_resnet50_True_256_1_50_strong,0.9386,0.9969333333333333,0.905875,0.9471361111111111
3,10_Focal_224_resnet50_True_256_1_50_strong,0.9638,0.9865666666666666,0.8750749999999999,0.9418138888888888
4,10_RSG_224_resnet50_True_64_1_50_strong,0.9616,0.9994666666666667,0.709225,0.8900972222222222
5,10_Logits_Adjust_Posthoc_224_resnet50_True_256_1_50_strong,0.9807,0.9916666666666667,0.8619249999999999,0.9447638888888888
6,10_LWS_224_resnet50_True_256_1_50_strong,0.98405,0.9830000000000001,0.5224500000000001,0.8298333333333333
7,10_SADE_224_resnet50_True_128_1_50_strong,0.6945,0.9587333333333333,0.7696000000000001,0.8076111111111111
8,10_BBN_224_resnet50_True_128_1_50_strong,0.98135,0.9895,0.9032749999999999,0.9580416666666666
9,10_MixUp_224_resnet50_True_256_1_50_strong,0.99375,0.9953666666666666,0.8472,0.9454388888888889
10,10_DisAlign_224_resnet50_True_256_1_50_strong,0.96695,0.9794999999999999,0.9185000000000001,0.9549833333333334
11,10_CBLoss_224_resnet50_True_256_1_50_strong,0.97505,0.9964333333333334,0.8768500000000001,0.9494444444444445
12,10_ERM_224_resnet50_True_256_1_50_strong,0.98455,0.9964,0.8306749999999999,0.9372083333333333
13,10_SAM_224_resnet50_True_256_1_90_strong,0.99295,0.9964,0.8689,0.95275
14,10_De-Confound_224_resnet50_True_256_1_50_strong,0.9345,0.9984999999999999,0.8853,0.9394333333333332
15,10_RW_224_resnet50_True_256_1_50_strong,0.9661500000000001,0.9973666666666666,0.8856499999999999,0.9497222222222222
16,10_SEQLLoss_224_resnet50_True_256_1_50_strong,0.9753000000000001,0.9959333333333333,0.8820499999999999,0.9510944444444444
17,10_VSLoss_224_resnet50_True_256_1_50_strong,0.9886999999999999,0.9830666666666666,0.83455,0.9354388888888888
18,10_LADELoss_224_resnet50_True_256_1_50_strong,0.9855,0.9848333333333333,0.844325,0.9382194444444445
19,10_Logits_Adjust_Loss_224_resnet50_True_256_1_50_strong,0.9958,0.9857999999999999,0.756825,0.9128083333333333
20,10_MiSLAS_224_resnet50_True_256_1_50_strong,0.96295,0.9898666666666666,0.8863000000000001,0.9463722222222222
21,10_WeightedSoftmax_224_resnet50_True_256_1_50_strong,0.9883,0.9511,0.854125,0.931175
22,10_CBLoss_Focal_224_resnet50_True_256_1_50_strong,0.9843999999999999,0.9944999999999999,0.8410000000000001,0.9399666666666667
23,10_T-Norm_224_resnet50_True_256_1_50_strong,0.99465,0.9712000000000001,0.8551000000000001,0.9403166666666668
24,10_GCL_224_resnet50_True_256_1_50_strong,0.96155,0.9989333333333333,0.878025,0.9461694444444445
25,10_RangeLoss_224_resnet50_True_256_1_50_strong,0.5,0.0,0.0,0.16666666666666666
26,10_RS_224_resnet50_True_256_1_50_strong,0.99255,0.9747,0.8678250000000001,0.9450249999999999
27,10_GCL_2nd_224_resnet50_True_256_1_50_strong,0.9299999999999999,0.9958,0.917925,0.9479083333333334
28,10_LDAM_224_resnet50_True_256_1_50_strong,0.97365,0.9866,0.8606750000000001,0.9403083333333333
