,methods,head,medium,tail,avg
0,10_PriorCELoss_224_resnet50_True_256_1_50_strong,0.5572666666666667,0.6921,0.5154333333333333,0.5882666666666667
1,10_BalancedSoftmax_224_resnet50_True_256_1_50_strong,0.5385666666666666,0.6841,0.5291333333333333,0.5839333333333333
2,10_cRT_RS_224_resnet50_True_256_1_50_strong,0.5947333333333334,0.6783,0.387,0.5533444444444445
3,10_Focal_224_resnet50_True_256_1_50_strong,0.6188666666666667,0.6317,0.22073333333333334,0.49043333333333344
4,10_RSG_224_resnet50_True_64_1_50_strong,0.5308333333333334,0.59435,0.0,0.3750611111111111
5,10_Logits_Adjust_Posthoc_224_resnet50_True_256_1_50_strong,0.5903333333333333,0.6635,0.5478333333333333,0.6005555555555554
6,10_LWS_224_resnet50_True_256_1_50_strong,0.5928,0.3359,0.006033333333333334,0.3115777777777778
7,10_SADE_224_resnet50_True_128_1_50_strong,0.45226666666666665,0.59755,0.5808666666666666,0.543561111111111
8,10_BBN_224_resnet50_True_128_1_50_strong,0.5861666666666666,0.6968,0.4328666666666667,0.5719444444444445
9,10_MixUp_224_resnet50_True_256_1_50_strong,0.6585000000000001,0.62785,0.1354,0.4739166666666667
10,10_DisAlign_224_resnet50_True_256_1_50_strong,0.502,0.5972999999999999,0.6020666666666666,0.5671222222222222
11,10_CBLoss_224_resnet50_True_256_1_50_strong,0.6037666666666667,0.6760999999999999,0.4365666666666666,0.5721444444444443
12,10_ERM_224_resnet50_True_256_1_50_strong,0.6438333333333333,0.6210500000000001,0.23206666666666667,0.49898333333333333
13,10_SAM_224_resnet50_True_256_1_90_strong,0.6428333333333334,0.62615,0.11913333333333333,0.46270555555555554
14,10_De-Confound_224_resnet50_True_256_1_50_strong,0.6532333333333332,0.61345,0.24336666666666665,0.5033500000000001
15,10_RW_224_resnet50_True_256_1_50_strong,0.5971666666666667,0.66145,0.4344333333333334,0.56435
16,10_SEQLLoss_224_resnet50_True_256_1_50_strong,0.6590333333333334,0.6200000000000001,0.24123333333333333,0.5067555555555556
17,10_VSLoss_224_resnet50_True_256_1_50_strong,0.6678000000000001,0.6145,0.2154,0.4992333333333334
18,10_LADELoss_224_resnet50_True_256_1_50_strong,0.6596,0.6333,0.23923333333333333,0.5107111111111111
19,10_Logits_Adjust_Loss_224_resnet50_True_256_1_50_strong,0.5979,0.4462,0.0123,0.35213333333333335
20,10_MiSLAS_224_resnet50_True_256_1_50_strong,0.4283666666666666,0.64705,0.49913333333333326,0.5248499999999999
21,10_WeightedSoftmax_224_resnet50_True_256_1_50_strong,0.6537999999999999,0.68355,0.35566666666666663,0.5643388888888888
22,10_CBLoss_Focal_224_resnet50_True_256_1_50_strong,0.586,0.67075,0.4530666666666667,0.5699388888888889
23,10_T-Norm_224_resnet50_True_256_1_50_strong,0.6657,0.52555,0.09823333333333333,0.42982777777777775
24,10_GCL_224_resnet50_True_256_1_50_strong,0.6443666666666666,0.6999,0.33686666666666665,0.5603777777777778
25,10_RangeLoss_224_resnet50_True_256_1_50_strong,0.33336666666666664,0.0,0.0,0.11112222222222222
26,10_RS_224_resnet50_True_256_1_50_strong,0.5025666666666667,0.64705,0.5288333333333334,0.5594833333333334
27,10_GCL_2nd_224_resnet50_True_256_1_50_strong,0.4826333333333333,0.6848000000000001,0.4693333333333333,0.5455888888888889
28,10_LDAM_224_resnet50_True_256_1_50_strong,0.6330999999999999,0.6456500000000001,0.14639999999999997,0.47505
